Title,Product URL,SKU,Image URL,Price,Stock,Available,Option#1
Serological Pipette,https://labequipsupply.co.za/product/serological-pipette/?attribute_range=Serological+Pipette+5ml+200Pk,CON-PIPETTE09,https://labequipsupply.co.za/wp-content/uploads/2019/09/Serological-Pipette-RLS.jpg,R783.51,1 in stock (can be backordered),Yes,Range: Serological Pipette 5ml 200Pk
Weighing Scale,https://labequipsupply.co.za/product/weighing-scale/?attribute_weighing-scale-range=Weighing+Scale+MIF+200+200kg+x+1kg,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Weighing-scale-1-RLS.png,R1238.52,11 in stock,Yes,Weighing-Scale-Range: Weighing Scale MIF 200 200kg x 1kg
Weighing Scale,https://labequipsupply.co.za/product/weighing-scale/?attribute_weighing-scale-range=Weighing+Scale+MIF+100+100x+500g,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Weighing-scale-1-RLS.png,R1238.52,13 in stock (can be backordered),Yes,Weighing-Scale-Range: Weighing Scale MIF 100 100x 500g
Weighing Scale,https://labequipsupply.co.za/product/weighing-scale/?attribute_weighing-scale-range=Weighing+Scale+MIF+-50+50kg+x+200g,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Weighing-scale-1-RLS.png,R1238.52,9 in stock (can be backordered),Yes,Weighing-Scale-Range: Weighing Scale MIF -50 50kg x 200g
Weighing Scale,https://labequipsupply.co.za/product/weighing-scale/?attribute_weighing-scale-range=Weighing+Scale+MIF-25+25kg+x+100g,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Weighing-scale-1-RLS.png,R1238.52,11 in stock (can be backordered),Yes,Weighing-Scale-Range: Weighing Scale MIF-25 25kg x 100g
Moisture Analyser,https://labequipsupply.co.za/product/moisture-analyser/?attribute_moisture-analyzer-range=Temperature+Calibration+kit,,https://labequipsupply.co.za/wp-content/uploads/2019/09/moisture-analyzer-new.png,R7463.48,10 in stock (can be backordered),Yes,Moisture-Analyzer-Range: Temperature Calibration kit
Moisture Analyser,https://labequipsupply.co.za/product/moisture-analyser/?attribute_moisture-analyzer-range=Moisture+Analyzer+PMB+202+200g+x+0.01g/+0.05%,,https://labequipsupply.co.za/wp-content/uploads/2019/09/moisture-analyzer-new.png,R51759.06,2 in stock (can be backordered),Yes,Moisture-Analyzer-Range: Moisture Analyzer PMB 202 200g x 0.01g/ 0.05%
Moisture Analyser,https://labequipsupply.co.za/product/moisture-analyser/?attribute_moisture-analyzer-range=Moisture+Analyzer+PMB+53+50g+x+0.001g/+0.01%,,https://labequipsupply.co.za/wp-content/uploads/2019/09/moisture-analyzer-new.png,R53684.62,6 in stock (can be backordered),Yes,Moisture-Analyzer-Range: Moisture Analyzer PMB 53 50g x 0.001g/ 0.01%
Moisture Analyser,https://labequipsupply.co.za/product/moisture-analyser/?attribute_moisture-analyzer-range=Disposable+Aluminium+sample+Pans+(+pack+of+250),,https://labequipsupply.co.za/wp-content/uploads/2019/09/moisture-analyzer-new.png,R4043.68,12 in stock (can be backordered),Yes,Moisture-Analyzer-Range: Disposable Aluminium sample Pans ( pack of 250)
Platform Scales with Indicator,https://labequipsupply.co.za/product/platform-scales/?attribute_platform-range=Platform+Scale+3000kgx500g+(Pan+Size+1.5mx1.5m),,https://labequipsupply.co.za/wp-content/uploads/2019/09/platform-scale-new.png,R24955.26,15 in stock (can be backordered),Yes,Platform-Range: Platform Scale 3000kgx500g (Pan Size 1.5mx1.5m)
Platform Scales with Indicator,https://labequipsupply.co.za/product/platform-scales/?attribute_platform-range=Platform+Scale+1000kg+x+200g+(Pan+Size+1.5mx1.5m),,https://labequipsupply.co.za/wp-content/uploads/2019/09/platform-scale-new.png,R24955.26,13 in stock (can be backordered),Yes,Platform-Range: Platform Scale 1000kg x 200g (Pan Size 1.5mx1.5m)
Platform Scales with Indicator,https://labequipsupply.co.za/product/platform-scales/?attribute_platform-range=Platform+Scale+3000kg+x+500g+(Pan+Size+1.2m+x1.2m),,https://labequipsupply.co.za/wp-content/uploads/2019/09/platform-scale-new.png,R22644.58,14 in stock (can be backordered),Yes,Platform-Range: Platform Scale 3000kg x 500g (Pan Size 1.2m x1.2m)
Platform Scales with Indicator,https://labequipsupply.co.za/product/platform-scales/?attribute_platform-range=Platform+Scale+1000kg+x+200g+(Pan+Size+1m+x1m),,https://labequipsupply.co.za/wp-content/uploads/2019/09/platform-scale-new.png,R20796.04,9 in stock,Yes,Platform-Range: Platform Scale 1000kg x 200g (Pan Size 1m x1m)
Pallet Truck Scale,https://labequipsupply.co.za/product/pts-pallet-truck-scale/?attribute_pallet-jack-range=Pallet+Truck+2000+2000kg+X+500g,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Pallet-Truck-Scale-RLS.jpg,R35206.95,6 in stock (can be backordered),Yes,Pallet-Jack-Range: Pallet Truck 2000 2000kg X 500g
Grain Scale,https://labequipsupply.co.za/product/grain-scale/?attribute_range=Grain+Scale+CQT+1750g+x+0.05g,,https://labequipsupply.co.za/wp-content/uploads/2019/09/grain-scale-new.png,R6691.71,4 in stock (can be backordered),Yes,Range: Grain Scale CQT 1750g x 0.05g
Anti-Vibration Table,https://labequipsupply.co.za/product/anti-vibration-table/,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Anti-Vibration-Table-RLS.png,"R24,234.33",12 in stock (can be backordered),Yes,
Floor Weighing Scale,https://labequipsupply.co.za/product/floor-weighing-scale/?attribute_floor-scale-range=Floor+Scale+GFK75+75kg+x+5g,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Floor-Scale-GFK-RLS.png,R8808.28,16 in stock (can be backordered),Yes,Floor-Scale-Range: Floor Scale GFK75 75kg x 5g
Floor Weighing Scale,https://labequipsupply.co.za/product/floor-weighing-scale/?attribute_floor-scale-range=Floor+Scale+GFK150+150kg+x+10g,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Floor-Scale-GFK-RLS.png,R8808.28,13 in stock (can be backordered),Yes,Floor-Scale-Range: Floor Scale GFK150 150kg x 10g
Floor Weighing Scale,https://labequipsupply.co.za/product/floor-weighing-scale/?attribute_floor-scale-range=Floor+Scale+GFK300+300kg+x+20g,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Floor-Scale-GFK-RLS.png,R8808.28,11 in stock (can be backordered),Yes,Floor-Scale-Range: Floor Scale GFK300 300kg x 20g
Floor Weighing Scale,https://labequipsupply.co.za/product/floor-weighing-scale/?attribute_floor-scale-range=Floor+Scale+CNP300+300kg+x+20g,,https://labequipsupply.co.za/wp-content/uploads/2019/09/CNP-Floor-Scale-RLS.png,R6908.91,12 in stock (can be backordered),Yes,Floor-Scale-Range: Floor Scale CNP300 300kg x 20g
Floor Weighing Scale,https://labequipsupply.co.za/product/floor-weighing-scale/?attribute_floor-scale-range=Floor+Scale+GFK600+600kg+x+50g,,https://labequipsupply.co.za/wp-content/uploads/2019/09/CNP-Floor-Scale-RLS.png,R15500,24 in stock (can be backordered),Yes,Floor-Scale-Range: Floor Scale GFK600 600kg x 50g
Floor Weighing Scale,https://labequipsupply.co.za/product/floor-weighing-scale/?attribute_floor-scale-range=Floor+Scale+GFK600+600kg+x+50g,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Floor-Scale-GFK-RLS.png,R8808.28,,Yes,Floor-Scale-Range: Floor Scale GFK600 600kg x 50g
Floor Weighing Scale,https://labequipsupply.co.za/product/floor-weighing-scale/?attribute_floor-scale-range=Floor+Scale+CNP150+150kg+x+10g,,https://labequipsupply.co.za/wp-content/uploads/2019/09/CNP-Floor-Scale-RLS.png,R6581.18,15 in stock (can be backordered),Yes,Floor-Scale-Range: Floor Scale CNP150 150kg x 10g
Calibration Weight,https://labequipsupply.co.za/product/calibration-weight/?attribute_calibration-weight-set-range=Calibration+Weight+F1+5kg,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Calibration-Weights-RLS.jpg,R10033.74,,Yes,Calibration-Weight-Set-Range: Calibration Weight F1 5kg
Calibration Weight,https://labequipsupply.co.za/product/calibration-weight/?attribute_calibration-weight-set-range=Calibration+Weight+F1+2kg,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Calibration-Weights-RLS.jpg,R4098.5,,Yes,Calibration-Weight-Set-Range: Calibration Weight F1 2kg
